Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Price to Earning,Price to book value,Return on equity,Debt,Sustainable Growth Rate,Graham,Sales growth 3Years,Profit growth 3Years,Profit after tax,OPM,Return on capital employed,Sales latest quarter,Return on assets,Debt to equity,Equity capital,Working capital,Free cash flow last year,Free cash flow preceding year
Vallabh Steels,513397,,Steel - Medium / Small,6.68,3.31,,,,46.33,,,,24.18,-1.44,,-6.85,0.00,-6.55,,4.95,2.82,0.03,0.00
Vardhman Special,534392,VSSL,Steel - Medium / Small,238.04,1945.58,20.90,2.44,12.27,120.30,9.04,158.17,8.84,-2.57,93.09,8.39,16.70,428.04,8.56,0.15,81.73,464.58,8.52,75.71
Vaswani Industri,533576,VASWANI,Steel - Sponge Iron,39.60,124.13,12.77,0.98,7.76,103.18,7.76,54.03,7.33,30.82,9.72,6.07,13.27,102.34,4.66,0.82,31.35,82.01,22.11,29.15
Venus Pipes,543528,VENUSPIPES,Steel - Medium / Small,1200.40,2452.55,26.03,5.06,23.56,181.00,23.28,497.42,37.39,53.71,94.23,18.50,28.41,231.30,13.57,0.37,20.37,340.14,-55.22,-153.17
Vibhor Steel,544124,VSTL,Steel - Medium / Small,145.46,275.83,22.55,1.53,13.08,135.15,13.08,117.44,28.02,83.45,12.23,3.86,14.93,247.25,5.24,0.75,18.96,182.72,-28.39,-3.80
Vilas Transcore,,VILAS,Steel - Medium / Small,343.10,839.91,32.14,3.13,15.11,15.13,15.11,175.23,32.67,61.76,26.13,10.57,20.84,162.43,11.48,0.06,18.00,242.86,47.98,13.02
Vraj Iron,544204,VRAJ,Steel - Sponge Iron,151.34,499.16,10.64,1.32,33.46,6.72,33.46,210.08,13.04,73.24,46.90,14.48,36.54,119.88,24.19,0.02,32.98,142.18,-44.95,61.37
Welspun Corp,532144,WELCORP,Steel - Large,764.20,20115.42,13.60,3.32,19.80,2261.66,17.47,540.20,34.34,17.84,1479.61,10.60,20.19,3613.51,7.71,0.37,131.17,2705.19,1022.13,-1235.28
Welspun Special.,500365,,Steel - Medium / Small,31.19,2066.69,,4.76,-1.55,20.92,-1.55,,64.26,23.29,-4.09,4.25,9.90,200.15,-0.62,0.05,397.56,219.18,42.13,-5.03
Zenith Steel,531845,ZENITHSTL,Steel - Medium / Small,6.57,93.48,12.48,,,215.11,,,22.52,,7.49,2.56,,35.69,-0.27,,142.28,-104.61,3.35,14.22
